"Search Parameters"	"Id"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"Mw"	"Ms"	"Mb"	"Ml"	"Mfa"	"Unk"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[]"																																																
	1	-2150								"JORDAN"		140	"JORDAN:  BAB-A-DARAA,AL-KARAK"	31.1	35.5		7.3						7.3									3																
	2	-2000						1		"SYRIA"		130	"SYRIA:  UGARIT"	35.683	35.8									10		3												3										
	3	-2000								"TURKMENISTAN"		40	"TURKMENISTAN:  W"	38	58.2	18	7.1		7.1					10	1	1						1		1			1	1						1		1		
	5877	-1610						3	1351	"GREECE"		130	"GREECE:  THERA ISLAND (SANTORINI)"	36.4	25.4																							3						3				
	8	-1566								"ISRAEL"		140	"ISRAEL:  ARIHA (JERICHO)"	31.5	35.3									10								3																
	11	-1450								"ITALY"		130	"ITALY:  LACUS CIMINI"	35.5	25.5									10																								
	9712	-1365						4		"SYRIA"		140	"SYRIAN COASTS"	35.683	35.8																	3												3				
	12	-1250								"ISRAEL"		140	"ISRAEL:  ARIHA (JERICHO)"	32	35.5		6.5						6.5									3																
	13	-1050								"JORDAN"		140	"JORDAN:  SW:  TIMNA COPPER MINES"	29.6	35		6.2						6.2									3																
	14	-759								"ISRAEL"		140	"ISRAEL:  JERUSALEM"	33	35.5									11								3												3				
	7793	-590						7		"LEBANON"		140	"LEBANON:  SUR (TYRE)"	33.27	35.22																																	
	16	-550								"GREECE"		130	"GREECE:  MOUNT TAYGETUS"	37	22.5									10																								
	7794	-525						8		"LEBANON"		140	"LEBANON:  SUR (TYRE), SAYDA (SAIDA)"	33.56	35.37																																	
	9713	-480	9	29				3469		"GREECE"		130	"GREECE:  SARONIC GULF"	37.9	23.5																																	
	17	-479						9		"GREECE"		130	"GREECE:  MACEDONIA"	39.7	23.3		7		7					9														3										
	18	-432								"GREECE"		130	"GREECE:  ROMAN TERRITORIES"	37	22.5																	1		1										1		1		
	5878	-426	6					10		"GREECE"		130	"GREECE:  EUBOEA"	38.9	22.7		7.1		7.1					10	2500	4						3		3			2500	4						3		3		
	19	-400								"IRAN"		140	"IRAN:  REY,EIVAN-E-KAY"	35.5	51.8		7.6		7.6													3												3				
	20	-373						11		"GREECE"		130	"GREECE"	38.25	22.25		7.3		7.3					11		3						3		3				3						3		3		
	21	-364								"ITALY"		130	"ITALY:  ROME"	35	25	100																1												1				
	22	-330						12		"GREECE"		130	"GREECE:  AEGEAN SEA"	40	25		7		7					11																								
	9652	-326	11					5282		"INDIA"		60	"INDIA:  KUTCH"	23	71																													1				
	23	-282								"TURKEY"		140	"TURKEY:  LYSIMACHIA"	41	27									10																								
	24	-282								"GREECE"		130	"GREECE:  DELPHI"	38.5	22.5																	1												1				
	25	-250								"KYRGYZSTAN"		40	"KYRGYZSTAN:  CHIGUCHIN"	42.7	77.5	20	6.7		6.7					9								3												3				
	10516	-241								"SPAIN"		130	"SPAIN:  CADIZ"	36	-8.5																																	
	28	-227						3092		"GREECE"		130	"GREECE:  DODECANESE ISLANDS"	36.3	28.3	100	7.2		7.2					10								1		1										1		1		
	9752	-223	10					3472		"GREECE"		130	"GREECE"																																			
	8196	-221								"EGYPT"		15	"EGYPT:  SIWA OASIS; LIBYA"	29.2	25.5									7								2												2				
	29	-217								"ITALY"		130	"ITALY:  LIGURIA (LIGURIE), GAULE"	44.3	8.5																	3																
	9732	-216						5382		"SPAIN"		130	"SPAIN:  CADIZ"	36.2	-7.17											1						2		1				1						2		1		
	9733	-210						4281		"PORTUGAL"		130	"PORTUGAL:  CABO SAN VICENTE"	36	-10.5																																	
	7795	-198						3473	5324	"GREECE"		130	"EAST MEDITERRANEAN SEA"	36.404	25.396																																	
	7895	-193	2							"CHINA"		30	"CHINA:  GANSU PROVINCE:  LINTAO"	35.4	103.9		6.5		6.5													2												2				
	30	-186	2	22						"CHINA"		30	"CHINA:  GANSU PROVINCE"	33.8	105.6		7		7						760	3											760	3										
	31	-177								"ITALY"		130	"ITALY:  SABINES"			100																2		2										2		2		
	32	-70	6	1						"CHINA"		30	"CHINA:  SHANDONG PROVINCE"	36.3	119		7		7					9	6000	4											6000	4										
	55	-63	10							"RUSSIA"		40	"RUSSIA:  PANTIKAPEY"	45.2	36.6	20	6.4		6.4					8								3												3				
	9734	-60						4263		"PORTUGAL"		130	"PORTUGAL:  CABO SAN VICENTE"	36	-10.7		8.5						8.5	10																				3				
